song_name,name,song_id,cluster
A Design for Life - Remastered,Manic Street Preachers,0uJyE3M3ecGZgzltsQKs3a,3
Nature Boy,Nat King Cole,2WMyu5IYgxEuCd6xgFgJrl,5
Bohemian Rhapsody - Remastered 2011,Queen,1AhDOtG9vPSOmsWgNW0BEY,5
Tainted Love,Soft Cell,3HnqpxXpizCRADKCU78cLk,5
Ode To Billie Joe,Bobbie Gentry,3ZsLNrysR0UFbjcaIEcDTj,1
Hoppípolla,Sigur Rós,6eTGxxQxiTFE6LfZHC33Wm,0
Play Dead,Björk,1ZZwvHCdAQ85yBJWabts7E,2
Temple of Love - Extended Version 1983,Sisters of Mercy,0cddvowG9DCT9VeZxRlPJm,0
Life on Mars? - 2015 Remaster,David Bowie,3ZE3wv8V3w2T2f7nOCjV0N,1
Cornflake Girl,Tori Amos,1300POeOaj8qho30FRHjgf,0
"River Deep, Mountain High",Ike & Tina Turner,3wMqRnny1MIRLuv3tjUJO6,0
Black Hole Sun,Soundgarden,2EoOZnxNgtmZaD8uUmz2nD,0
The Fly,U2,64g7TNisChwM2ReQaQt7HC,2
America: What Time Is Love?,The KLF,5ZV4ooH5tknUfssVDTMagM,2
The Whole of the Moon,The Waterboys,11zWfCQaGkXJ9uIXROr4pa,3
Sowing The Seeds Of Love,Tears For Fears,2zOzjqz8edrrTya5xek7By,0
You Can't Always Get What You Want - Mono Version,The Rolling Stones,7C8AwK5pFTrcB34IUmuzXc,3
The Size Of A Cow,The Wonder Stuff,5AxrGtSF6tymFMNsyiwx2O,3
Drama!,Erasure,4qoD4lYwhiWHO6wPbcVLHi,3
A Day In The Life - Remastered,The Beatles,3ZFBeIyP41HhnALjxWy1pR,5
Supermassive Black Hole,Muse,3lPr8ghNDBLc2uZovNyLs9,0
It's a Sin,Pet Shop Boys,3GNwCZIv4xKUiyoaQfj9Ah,2
I Am The Walrus - Remastered,The Beatles,4qmvOVUt7U8szKXspAoLVy,3
Remember (Walkin' In The Sand),The Shangri-Las,4t1MwHt0wd3ZUZplwriwr9,5
Left to My Own Devices - 2001 Remaster,Pet Shop Boys,6LyUx9Er3DBp0kXy7qQIMs,0
"Hold Me, Thrill Me, Kiss Me, Kill Me - From 'Batman Forever'",U2,4bIwOXjK9XhSciQNhBiu3Q,2
Justified & Ancient,The KLF,7E81YAfHOaSlnevLjKMghT,2
Kashmir - Remaster,Led Zeppelin,5v2vkoTamoisazJFanHJjk,3
Thieves in the Temple,Prince,403oiKw757eJnbDKPSjhHV,2
"You're The One That I Want - From ""Grease"" Original Motion Picture Soundtrack",John Travolta,1pj3RzpA5AoXkZln0NockI,3
"You're The One That I Want - From ""Grease"" Original Motion Picture Soundtrack",Olivia Newton-John,1pj3RzpA5AoXkZln0NockI,3
Young Hearts Run Free,Candi Staton,3MFa9idQuY4iJLWsZl3tIQ,2
"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons,7ePFDzrnLt3Ynqgy2UFWri,3
Rock 'n' Roll Suicide - 2012 Remaster,David Bowie,1k5iH4KDKi56MFvlnrALNV,3
Common People,Pulp,0LEoCPq4QlV2h41Fm5ENJ3,3
Unbelievable,EMF,5VYTKiOnHw4iTrB9pG3yum,3
The Liberty Of Norton Folgate,Madness,54hnadFedIJUZZXcWwMNO8,0
1999,Prince,2H7PHVdQ3mXqEHXcvclTB0,0
The Sound of Silence,Simon & Garfunkel,2LkaNhCrNVmcYgXJeLVmsw,0
All the Young Dudes,Mott The Hoople,0WNGPpmWqzPnk0psUhJ3SX,2
What A Wonderful World,Louis Armstrong,6Z5XZ8fjmWGbkdahOgreVe,1
How Soon Is Now? - 2008 Remaster,The Smiths,5gXlabehojXdqcfFN8ncey,2
God Only Knows - Mono,The Beach Boys,6iGU74CwXuT4XVepjc9Emf,2
Glam Rock Cops,Carter The Unstoppable Sex Machine,2dDYvf337nhZ4Yn219MPIQ,3
The Age Of The Understatement,The Last Shadow Puppets,5WXMS6w7Gvb02b6bx4eBSF,2
